11/20/10,,,,,,,,,,,,,,GEORGIA SECRETARY OF STATE,PAG,,,,,,,,,,,,,,
SSVRZ521R1,,,,,,,,,,,,,,VOTER REGISTRATION SYSTEM,,,,,,,,,,,,,APPLING,,
,,,,,,,,,,,,ACTIVE VOTERS BY RACE/GENDER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,REPUBLICAN VOTING HISTORY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ELECTION DATE:,,,,"JULY 20, 2010",,,,,,,,,,,,,


,BLACK FEMALE,,BLACK MALE,,WHITE FEMALE,,WHITE MALE,,ASIA-PI FEMALE,,ASIA-PI MALE,,HISP-LT FEMALE,,HISP-LT MALE,,NATIVE-AM FEMALE,,NATIVE-AM MALE,,OTHER FEMALE,,OTHER MALE,,UNKNOWN,,TOTAL VOTERS,,



AGE,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
BREAKDOWN,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTD,REG,VOTED,REG,VOTED,REG,VOTED,

,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
,0 ,%,0 %,,,0 %,,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,,,,,,,,,,,0 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 ,- 24,159,1,118,2,409,46,326,33,2,0,1,0,15,0,10,0,0,0,0,0,5,1,5,0,19,1,"1,069",84
,1 ,%,2 %,,,11 %,,10 %,0 %,0 %,0 %,0 %,0 %,0 %,20 %,0 %,5 %,,,,,,,,,,,8 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ,- 29,96,0,49,0,276,53,208,38,1,0,1,0,7,0,1,0,0,0,1,0,3,0,1,0,13,3,657,94
,0 ,%,0 %,,,19 %,,18 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,23 %,,,,,,,,,,,14 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,- 34,83,0,43,1,281,57,215,50,1,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,10,1,644,109
,0 ,%,2 %,,,20 %,,23 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,,,,,,,,,,,17 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 ,- 39,97,0,50,0,300,88,250,75,1,0,1,0,6,0,5,0,0,0,0,0,1,0,2,0,9,0,722,163
,0 ,%,0 %,,,29 %,,30 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,,,,,,,,,,,23 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 ,- 44,78,1,83,0,312,87,251,91,2,0,1,0,3,1,4,0,1,0,0,0,2,0,2,0,8,0,747,180
,1 ,%,0 %,,,28 %,,36 %,0 %,0 %,33 %,0 %,33 %,0 %,0 %,0 %,0 %,,,,,,,,,,,24 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 ,- 49,99,1,74,0,329,109,300,111,1,0,3,1,3,0,3,0,0,0,2,0,3,1,0,0,10,3,827,226
,1 ,%,0 %,,,33 %,,37 %,0 %,33 %,0 %,0 %,0 %,0 %,33 %,0 %,30 %,,,,,,,,,,,27 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ,- 54,86,4,83,2,389,159,333,140,2,1,1,0,1,0,4,0,0,0,0,0,1,0,0,0,12,1,912,307
,5 ,%,2 %,,,41 %,,42 %,50 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,8 %,,,,,,,,,,,34 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 ,- 59,93,2,65,2,345,142,347,145,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,1,858,293
,2 ,%,3 %,,,41 %,,42 %,0 %,0 %,0 %,50 %,0 %,0 %,0 %,0 %,17 %,,,,,,,,,,,34 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 ,- 64,83,1,59,1,343,135,343,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,832,300
,1 ,%,2 %,,,39 %,,47 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,100 %,0 %,,,,,,,,,,,36 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 ,& OVER,174,5,105,1,794,302,678,293,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,16,1,"1,772",603
,3 ,%,1 %,,,38 %,,43 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,6 %,,,,,,,,,,,34 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,"1,048",15,729,9,"3,778","1,178","3,252","1,137",11,1,10,1,38,1,38,1,1,0,3,0,16,3,12,2,105,11,"9,041","2,359",
,1 ,%,1 %,,,31 %,,35 %,9 %,10 %,3 %,3 %,0 %,0 %,19 %,17 %,10 %,,,,,,,,,,,26 %,
11/20/10,,,,,,,,,,,,,,GEORGIA SECRETARY OF STATE,PAG,,,,,,,,,,,,,,
SSVRZ521R1,,,,,,,,,,,,,,VOTER REGISTRATION SYSTEM,,,,,,,,,,,,,ATKINSON,,
,,,,,,,,,,,,ACTIVE VOTERS BY RACE/GENDER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,REPUBLICAN VOTING HISTORY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ELECTION DATE:,,,,"JULY 20, 2010",,,,,,,,,,,,,


,BLACK FEMALE,,BLACK MALE,,WHITE FEMALE,,WHITE MALE,,ASIA-PI FEMALE,,ASIA-PI MALE,,HISP-LT FEMALE,,HISP-LT MALE,,NATIVE-AM FEMALE,,NATIVE-AM MALE,,OTHER FEMALE,,OTHER MALE,,UNKNOWN,,TOTAL VOTERS,,



AGE,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
BREAKDOWN,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTD,REG,VOTED,REG,VOTED,REG,VOTED,

18 ,- 24,61,0,48,0,102,5,136,6,0,0,0,0,17,0,13,0,0,0,0,0,0,0,2,0,0,0,379,11
,0 ,%,0 %,5 %,4 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,3 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ,- 29,42,0,18,0,125,5,90,4,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,283,9
,0 ,%,0 %,4 %,4 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,3 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,- 34,43,0,19,0,112,12,98,8,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,281,20
,0 ,%,0 %,11 %,8 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,7 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 ,- 39,32,0,13,0,116,5,103,8,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,280,13
,0 ,%,0 %,4 %,8 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,5 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 ,- 44,41,0,21,0,136,18,116,14,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,327,32
,0 ,%,0 %,13 %,12 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 ,- 49,46,0,40,0,143,15,115,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,349,32
,0 ,%,0 %,10 %,15 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,9 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ,- 54,56,0,35,1,128,14,116,13,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,339,28
,0 ,%,3 %,11 %,11 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,8 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 ,- 59,34,0,33,0,131,21,138,18,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,341,39
,0 ,%,0 %,16 %,13 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,11 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 ,- 64,34,0,19,0,125,23,130,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,311,44
,0 ,%,0 %,18 %,15 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,100 %,14 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 ,& OVER,75,0,63,0,299,41,268,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,707,97
,0 ,%,0 %,14 %,21 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,14 %,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,464,0,309,1,"1,417",159,"1,310",164,0,0,2,0,47,0,42,0,0,0,0,0,0,0,4,0,2,1,"3,597",325,
,0 ,%,0 %,11 %,13 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,50 %,9 %,,,,,,,,,,,,,,
11/20/10,,,,,,,,,,,,,,GEORGIA SECRETARY OF STATE,PAG,,,,,,,,,,,,,,
SSVRZ521R1,,,,,,,,,,,,,,VOTER REGISTRATION SYSTEM,,,,,,,,,,,,,BACON,,
,,,,,,,,,,,,ACTIVE VOTERS BY RACE/GENDER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,REPUBLICAN VOTING HISTORY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ELECTION DATE:,,,,"JULY 20, 2010",,,,,,,,,,,,,


,BLACK FEMALE,,BLACK MALE,,WHITE FEMALE,,WHITE MALE,,ASIA-PI FEMALE,,ASIA-PI MALE,,HISP-LT FEMALE,,HISP-LT MALE,,NATIVE-AM FEMALE,,NATIVE-AM MALE,,OTHER FEMALE,,OTHER MALE,,UNKNOWN,,TOTAL VOTERS,,



AGE,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
BREAKDOWN,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTED,REG,VOTD,REG,VOTED,REG,VOTED,REG,VOTED,

18 ,- 24,68,0,33,0,178,7,149,9,0,0,0,0,2,0,5,0,0,0,0,0,1,0,3,0,11,0,450,16
,0 ,%,0 %,,,4 %,,6 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,,,,,,,,,,,4 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 ,- 29,41,0,24,0,149,12,110,5,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,10,1,340,18
,0 ,%,0 %,,,8 %,,5 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,,,,,,,,,,,5 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,- 34,48,0,22,0,164,16,148,24,1,0,0,0,3,1,3,2,0,0,0,0,1,1,0,0,2,0,392,44
,0 ,%,0 %,,,10 %,,16 %,0 %,0 %,33 %,67 %,0 %,0 %,100 %,0 %,0 %,,,,,,,,,,,11 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 ,- 39,39,0,17,0,186,43,174,36,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,1,424,81
,0 ,%,0 %,,,23 %,,21 %,100 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,25 %,,,,,,,,,,,19 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 ,- 44,36,1,14,0,178,29,164,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,401,57
,3 ,%,0 %,,,16 %,,16 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,,,,,,,,,,,14 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 ,- 49,39,0,16,0,162,26,149,34,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,6,1,376,61
,0 ,%,0 %,,,16 %,,23 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,17 %,,,,,,,,,,,16 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 ,- 54,43,0,23,1,193,46,173,44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,439,91
,0 ,%,4 %,,,24 %,,25 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,,,,,,,,,,,21 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 ,- 59,43,0,35,0,227,57,196,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,509,116
,0 ,%,0 %,,,25 %,,30 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,14 %,,,,,,,,,,,23 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 ,- 64,34,0,14,0,209,53,208,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,470,120
,0 ,%,0 %,,,25 %,,32 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,25 %,,,,,,,,,,,26 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 ,& OVER,52,1,47,3,545,145,418,141,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,7,1,"1,074",291
,2 ,%,6 %,,,27 %,,34 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,14 %,,,,,,,,,,,27 %,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALS,443,2,245,4,"2,191",434,"1,889",444,4,1,3,0,14,1,11,2,0,0,0,0,7,1,4,0,64,6,"4,875",895,
,0 ,%,2 %,,,20 %,,24 %,25 %,0 %,7 %,18 %,0 %,0 %,14 %,0 %,9 %,,,,,,,,,,,18 %,
11/20/10,,,,,,,,,,,,,,GEORGIA SECRETARY OF STATE,PAG,,,,,,,,,,,,,,
SSVRZ521R1,,,,,,,,,,,,,,VOTER REGISTRATION SYSTEM,,,,,,,,,,,,,BAKER,,
,,,,,,,,,,,,ACTIVE VOTERS BY RACE/GENDER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,REPUBLICAN VOTING HISTORY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ELECTION DATE:,,,,"JULY 20, 2010",,,,,,,,,,,,,


