X,Y,OBJECTID,NAME,ADDRESS,Precinct,created_user,created_date,last_edited_user,last_edited_date,GlobalID
2565578.06430391,1444060.26047315,1,Winterville Train Depot,"Marigold Ln, Winterville",1A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{0D353D9D-61EF-4F7C-A0D8-04BB2BE7989B}
2531910.20677099,1437566.84006108,2,Clarke Central High School Gym,330 S Milledge Ave,3A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{D71BADEF-9523-47B6-BEA3-37384825B471}
2537962.60050608,1441518.57034657,3,Athens Transit Multi-modal Center,"775 E Broad St, Athens",4A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{7BE9F83B-D880-49FD-9043-FF12FD1DEA02}
2533167.519217,1429746.45215857,4,Memorial Park,"293 Gran Ellen Dr, Athens",4B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{9CBD37C2-8FAF-46AC-9A4C-B57B003B1540}
2522230.27501541,1442543.56075066,5,Oglethorpe Avenue School,"1150 Oglethorpe Ave, Athens",5A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{75D0BAF6-9A1A-4A6D-96EB-370685FFA95C}
2530804.41797208,1443092.18727807,6,Chase Street School,"757 N Chase St, Athens",5C,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{0CBA05E7-B2FA-49A8-9CBC-B95F005F27B8}
2530253.53619983,1448364.16918816,7,ACC Fleet Management Building,"225 Newton Bridge Rd, Athens",5D,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{ED253E52-D2BF-429F-8B53-ACF38E06656A}
2533033.46305466,1433848.46134299,8,Firestation #3,"1198 S Milledge Ave, Athens",7C,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{8D0B6BE2-F29C-4FD2-872D-8515F952AF30}
2541537.821374,1446382.63870241,9,Howard B. Stroud School,"715 Fourth St, Athens",2B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{CED818A6-E5A7-487F-BEC5-E67BA7F70B0E}
2546077.72239916,1426104.38759232,10,ACC Firestation #7,"2350 Barnett Shoals Rd, Athens",8C,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{E649E8BF-C963-48F3-8C98-704775ACB506}
2536379.50984025,1442931.99763782,11,Thomas Lay Park,"297 Hoyt St, Athens",3B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{F62E4A95-CEB0-485F-B74D-A4CB58B0B92C}
2524392.76084791,1442150.66685141,12,Firestation #4,"900 Oglethorpe Ave, Athens",6D,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{46372770-CB51-4359-BB53-85ACEFD457A2}
2549842.13613016,1428111.31336849,13,Cedar Shoals High School,"1300 Cedar Shoals Dr, Athens",8B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{BFECF98E-D755-4666-B8D3-009770504F37}
2554489.36174383,1421050.13031241,14,Whit Davis Elementary,"1450 Whit Davis Rd, Athens",1C,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{99032E76-9BD0-4703-B5FA-BD566EF4618B}
2497067.73413325,1443663.23272391,15,Cleveland Road Elementary School,"1700 Cleveland Rd, Bogart",6A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{C899180C-BA82-40FC-A140-519F2D5EC198}
2518187.70501658,1449079.23829607,16,Whitehead Road Elementary School,"555 Quailwood Dr, Athens",5B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{8695BD40-A2F7-4DCB-95E5-D24DB3397465}
2514949.59797575,1433080.00651507,17,Timothy Road Elementary School,"1900 Timothy Rd, Athens",6C,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{A00CFF85-8915-483F-BF48-A71ECBAFF616}
2548306.78224549,1430423.69785132,18,Gaines Elementary School,900 Gaines School Rd,8A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{FB696306-4A43-4505-9F5F-DCDAD5449DB8}
2508075.41093675,1435201.32215432,19,Georgia Square Mall,"3700 Atlanta Hwy, Athens",6B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{5481A1F5-C577-4B28-815A-E3E9D71A31C6}
2515336.59162433,1432891.97211424,20,Timothy Road Elementary School,"1900 Timothy Rd, Athens",7A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{169D3C61-3500-4793-81D9-7367BF81F891}
2554125.28734075,1421346.94927257,21,Whit Davis Elementary,"1450 Whit Davis Rd, Athens",1D,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{520FF57B-D278-4B7E-937A-316D7C64F386}
2548020.16995783,1430573.74512341,22,Gaines Elementary School,"900 Gaines School Rd, Athens",1B,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{676A2531-0BED-46D1-A5D2-47479921D566}
2545621.94968866,1459787.5055934,23,Judia J. Harris Elementary School,"2300 Danielsville Rd, Athens",2A,WALLAB,2017/08/18 17:22:58+00,WALLAB,2017/08/18 17:22:58+00,{756F5A8C-DF7D-4227-8EBE-471988E1CB14}
2528031.74766441,1435939.31017966,24,Athens-Clarke County Library,2025 Baxter St,7B,WALLAB,2017/08/18 17:22:58+00,GISPLA,2018/08/16 13:34:54+00,{BF4C434C-EBA6-4E2B-9E4F-6C63CB06CC6C}
