X,Y,OBJECTID,Precinct,Location,Address,Proposal,status,RetireStatus,FeatureID
-84.4492673885478,33.6557981233734,3,CP01B,College Park Auditorium,3631 Main Street, ,approved,active,
-84.3639115713245,34.0744629507449,24,RW19,North River Baptist Church,12090 Hardscrabble Road,"22/14, 23/14, 30/15",approved,active,
-84.5406391195127,33.7300078412091,28,SC02,Southwest Art Center,915 New Hope Rd, ,approved,active,
-84.6701607150461,33.6194770475065,29,SC04,Fire Station No. 17,8675 Ridge Rd, ,approved,active,
-84.3520455011396,33.7315773848268,46,01B,Ormewood Park Presby. Church,1071 Delaware Avenue, ,approved,active,
-84.4318433992843,33.7272382383137,54,04T,W Oakland Missionary Bapt Ch,1025 Violet St, ,approved,active,
-84.3860434490497,33.8287778228089,56,07H,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd Ne - Fam Life Center, ,approved,active,
-84.5002456379134,33.7695378055408,57,09C,Jackson Memorial Baptist Church,534 Fairburn Rd, ,approved,active,
-84.4627427358972,33.7716227888223,58,09D,Salem Baptist Church,2283 Baker Road, ,approved,active,
-84.1957521015398,34.0549927010211,80,JC05,Abbotts Hill Elementary School,5575 Abbotts Bridge Road, ,approved,active,
-84.1302385728153,34.0464971646626,82,JC01,Shakerag Elementary School,10885 Rogers Circle, ,approved,active,
-84.359774009326,34.0462650576196,88,RW08,Crosspointe Community Church,77 E Crossville Rd Suite 203, ,approved,active,
-84.3834948594856,33.9170027904492,99,SS03,Lake Forest Elementary School,5920 Sandy Springs Cir,28/11,approved,active,
-84.3588359148002,33.8973687260419,102,SS12,Ridgeview Middle School,5340 South Trimble Rd,"26/08, 31/08",approved,active,
-84.3648276641282,33.73554000425,108,01A,Parkside Elem School,685 Mercer St Se,51/20,approved,proposed,
-84.3723432063577,33.6979872045891,113,01S,Dobbs Elementary School,2025 Jonesboro Rd Se,"06/10, 56/20",approved,proposed,
-84.3524776011338,33.7622390576602,115,02E,Little 5 Points Comm Center,1083 Austin Ave, ,approved,active,
-84.4134637891358,33.7631261294428,124,03G,Simpson Street Church Of Christ,800 Joseph E. Boone Blvd Nw,22/11,approved,active,
-84.4166831203805,33.7694677301916,127,03N,Lindsay Street Baptist Church,550 Lindsay St,14/09,approved,active,
-84.42160758105,33.7380316398867,134,04L,West Hunter Street Baptist Church,1040 Ralph David Abernathy Blvd Sw,,approved,active,
-84.4397575802971,33.7144318019087,135,04S,St Peters Bapt Church Rec Bldg,1558 Venetian Dr, ,approved,active,
-84.3677567148019,33.8013626047788,142,06D,Morningside Baptist Church Gym,1700 Piedmont Road,12/16 ,approved,active,
-84.3858121914139,33.7911507832487,146,06R,First Presbyterian Church,1328 Peachtree Street,"25/08, 30/08",approved,active,
-84.3677567148019,33.8013626047788,148,06E,Morningside Baptist Church Gym,1700 Piedmont Road,,approved,active,
-84.4225394881595,33.8709220409638,149,08A,"Jackson, Warren T School",1325 Mt Paran Rd, ,approved,active,
-84.3917605823057,33.8752940222011,150,08B,Chastain Park Gymnasium,140 W Wieuca Rd,32/11,approved,active,
-84.434703709565,33.8338957471695,151,08E,Morris Brandon Primary Ctr. School,2845 Margaret Mitchell Dr,"21/08, 05/10",approved,active,
-84.448326468356,33.7757858238359,154,09E,Dogwood Senior Center,1953 Donald L. Hollowell Pkwy Nw,35/08,approved,active,
-84.4698150446347,33.763515998736,161,10F,Berean Seventh Day Advent. Church,291 Hamilton E Holmes Dr, ,approved,active,
-84.4765695400088,33.7474853404513,162,10G,St Paul's Episcopal Church,306 Peyton Rd, ,approved,active,
-84.5162064476193,33.696496341923,170,11C,Fickett School,3935 Rux Rd,"7/14R, 42/17",approved,proposed,
-84.4655768155395,33.7180240356097,175,11K,Cascade Elementary School,2326 Venetian Dr Sw,"20/08, 27/08, 03/09, 58/20",approved,proposed,
-84.457116385516,33.7502455008888,186,10J,Westside Community Church,2114 Martin Luther King Jr Dr, ,approved,active,
-84.2393772697889,34.017148850699,193,JC13A,Autry Mill Middle School,4110 Old Alabama Road, ,approved,active,
-84.364483869362,33.7166292623505,197,01T,Benteen Elem School,200 Cassanova St, ,approved,active,
-84.1834291509069,34.0396675507247,206,JC06,Northview High School,10625 Parsons Road, ,approved,active,
-84.3636494673629,34.0177034436711,238,RW11B,1st Baptist Church Of Roswell,710 Mimosa Blvd, ,approved,active,
-84.2393772697889,34.017148850699,240,JC13B,Autry Mill Middle School,4110 Old Alabama Road, ,approved,active,
-84.4051939011802,33.7680877511774,245,03P2,Antioch Baptist Ch Family Cntr,540 Cameron M Alexander Blvd Nw,82/20,approved,proposed,
-84.2206794129669,34.0624086985734,262,JC10,Messiah Lutheran Church,4765 Kimball Bridge Road, ,approved,active,
-84.2865040231174,34.0067225299429,273,RW22B,Centennial High School,9310 Scott Road, ,approved,active,
-84.4395846899426,33.7527295527573,290,04D,C. A. Scott Recreation Bldg,1565 M L King Jr Dr Sw, ,approved,active,
-84.3827185987585,33.8477046797362,293,08M,Ptree Presbyterian Church,3434 Roswell Rd, ,approved,active,
-84.3581018264519,33.8747182246487,294,07B,St James Methodist Ch,4400 Peachtree Dunwoody Rd, ,approved,active,
-84.4287239586982,33.7191430072616,295,04M,James Orange Park,1305 Oakland Ln,05/12,approved,active,
-84.3614008286971,33.918789879368,302,SS08B,Hammond Park Gym,705 Hammond Drive Ne, ,approved,active,
-84.3614008286971,33.918789879368,303,SS08C,Hammond Park Gym,705 Hammond Drive Ne, ,approved,active,
-84.3753219482954,33.8576468277057,336,07A,Sarah Rawson Smith Elem School,370 Old Ivy Rd Ne,"23/10, 35/10",approved,active,
-84.4922959859169,33.6786424086573,337,11J,Continental Colony Elementary School,3181 Hogan Rd,"20/10, 09/11",approved,active,
-84.4698150446347,33.763515998736,344,03S,Berean Seventh Day Advent. Church,291 Hamilton E Holmes Dr,35/11,approved,active,
-84.3602292566091,33.6933330250195,352,01P,Bible Way Ministries,894 Constitution Rd,226/12R,approved,active,
-84.448141828315,33.7327350077684,356,10M,"Mcghee, Joseph Tennis Center",820 Beecher Ct,230/12R ,approved,active,
-84.4492673885478,33.6557981233734,367,CP02,College Park Auditorium,3631 Main Street,238/12R ,approved,active,
-84.4719472466768,33.6376060829882,369,CP07B,Camp Truitt Senior Center,4320 Herschel Rd,"33/11, 239/12R",approved,active,
-84.2836173278792,34.1639345289139,396,ML07A,Hopewell Baptist Church,15730 Hopewell Rd,26/12R,approved,active,
-84.4836706887484,33.5954088778175,401,SC09B,Burdett Park Gym,2945 Burdett Rd,28/12R ,approved,active,
-84.4920975663081,33.6276904527336,407,SC19A,Solid Rock Pentecostal Church,4707 Washington Rd,31/12R,approved,active,
-84.4920975663081,33.6276904527336,408,SC19B,Solid Rock Pentecostal Church,4707 Washington Rd,31/12R,approved,active,
-84.4162275793247,33.829622863203,422,08F1,"Brandon, Morris School",2741 Howell Mill Rd Nw,72/12R,approved,active,
-84.3555137648581,33.7523221761081,431,05A2,Lang-Carson Recreation Center,100 Flat Shoals Ave,99/12R,approved,active,
-84.5973108332462,33.6511707939056,440,SC05A,Cliftondale Community House,4645 Butner Rd,104/12R,approved,active,
-84.5578599750675,33.5873189750927,446,UC02A,Etris Community Center,5285 Lakeside Dr,107/12R,approved,active,
-84.5578599750675,33.5873189750927,447,UC02B,Etris Community Center,5285 Lakeside Dr,107/12R,approved,active,
-84.386057714063,33.8311526142016,448,07F,Cathedral Of Saint Philip,2744 Peachtree Rd Nw,07/12,approved,active,
-84.4131198074966,33.7603005464658,450,03E,Greater Bethany Baptist Church,786 Thurmond Street,11/12,approved,active,
-84.339485815035,34.0900607401171,456,AP04A,Alpharetta Crabapple Government Center,12624 Broadwell Rd,288/12R,approved,active,
-84.339485815035,34.0900607401171,457,AP04B,Alpharetta Crabapple Government Center,12624 Broadwell Rd,288/12R,approved,active,
-84.4492673885478,33.6557981233734,459,CP012,College Park Auditorium,3631 Main Street,289/12R,approved,active,
-84.3648435648884,33.9278826741831,468,SS29A,1st Baptist Ch. Sandy Springs,650 Mt Vernon Hwy,"294/12R, 9/20",approved,proposed,
-84.3648435648884,33.9278826741831,469,SS29B,1st Baptist Ch. Sandy Springs,650 Mt Vernon Hwy,294/12R,approved,active,
-84.4147988756573,33.9068027080624,487,SS09A,Mt Vernon Baptist Church,850 Mt Vernon Hwy Nw,"4/13, 116/20",approved,proposed,
-84.407467239938,33.8133919778647,494,08K,"Grant, Bitsy Tennis Center",2125 Northside Dr,"7/13new, 60/17",approved,proposed,
-84.3565243726487,33.7041759929402,502,01R,Thomasville Recreation Center,1835 Henry Thomas Dr,14/13,approved,active,
-84.3774668168313,33.7637456111762,507,02D,Butler Street Baptist Church,315 Ralph Mcgill Blvd,04/13R,approved,active,
-84.4015863552961,33.7414729588885,509,04I,Paul L. Dunbar School,500 Whitehall Terrace Sw,"05/13R, 57/20",approved,proposed,
-84.3990581136686,33.7287552763504,520,12N,Pittman Park Rec Center,950 Garibaldi St,"98/12R, 13/13R",approved,active,
-84.374501965309,33.7534843306975,521,05B,Liberty Baptist Church,395 Chamberlain St Se,"23/08, 10/12, 14/13R",approved,active,
-84.374501965309,33.7534843306975,522,01H,Liberty Baptist Church,395 Chamberlain St Se,14/13R,approved,active,
-84.3860434490497,33.8287778228089,542,06N,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd Ne - Fam Life Center,18/13 ,approved,active,
